ForecastDate,ForecastRemainingQty,PartNum,RevisionNum,MtlPartNum
2016-11-13,-466.77292442588464,1000 1359,11,1002667S
2016-11-20,-524.4279062525238,1000 1359,11,1002667S
2016-11-27,-582.0828880791632,1000 1359,11,1002667S
2016-12-04,-639.7378699058022,1000 1359,11,1002667S
2016-12-11,-697.3928517324418,1000 1359,11,1002667S
2016-12-18,-755.0478335590808,1000 1359,11,1002667S
2016-12-25,-812.7028153857202,1000 1359,11,1002667S
2017-01-01,-870.3577972123599,1000 1359,11,1002667S
2017-01-08,-928.0127790389988,1000 1359,11,1002667S
2017-01-15,-985.6677608656378,1000 1359,11,1002667S
2016-10-30,-351.4629607726058,1000 1359,11,1003041S
2016-11-06,-409.1179425992452,1000 1359,11,1003041S
2016-11-13,-466.77292442588464,1000 1359,11,1003041S
2016-11-20,-524.4279062525238,1000 1359,11,1003041S
2016-11-27,-582.0828880791632,1000 1359,11,1003041S
2016-12-04,-639.7378699058022,1000 1359,11,1003041S
2016-12-11,-697.3928517324418,1000 1359,11,1003041S
2016-12-18,-755.0478335590808,1000 1359,11,1003041S
2016-12-25,-812.7028153857202,1000 1359,11,1003041S
2017-01-01,-870.3577972123599,1000 1359,11,1003041S
2017-01-08,-928.0127790389988,1000 1359,11,1003041S
2017-01-15,-985.6677608656378,1000 1359,11,1003041S
2016-10-30,-351.4629607726058,1000 1359,11,1005831S
2016-11-06,-409.1179425992452,1000 1359,11,1005831S
2016-11-13,-466.77292442588464,1000 1359,11,1005831S
2016-11-20,-524.4279062525238,1000 1359,11,1005831S
2016-11-27,-582.0828880791632,1000 1359,11,1005831S
2016-12-04,-639.7378699058022,1000 1359,11,1005831S
2016-12-11,-697.3928517324418,1000 1359,11,1005831S
2016-12-18,-755.0478335590808,1000 1359,11,1005831S
2016-12-25,-812.7028153857202,1000 1359,11,1005831S
2017-01-01,-870.3577972123599,1000 1359,11,1005831S
2017-01-08,-928.0127790389988,1000 1359,11,1005831S
2017-01-15,-985.6677608656378,1000 1359,11,1005831S
2016-10-30,1.0,1000 1359,11,1007523S
2016-11-06,1.0,1000 1359,11,1007523S
2016-11-13,1.0,1000 1359,11,1007523S
2016-11-20,1.0,1000 1359,11,1007523S
2016-11-27,1.0,1000 1359,11,1007523S
